experiment;D_cm;D;rhofrac;hr_cm;hr;am_cm;am;as_cm;as;Q_1000;Q;q;Q1_1000;Q1;q1;lam;Fr;Fr_round;G;G_round
-;cm;m;-;cm;m;cm;m;cm;m;10^-3 m3/s;m3/s;m2/s;10^-3 m3/s;m3/s;m2/s;-;-;-;m-1;m-1
1;3.1;0.031;0.018;4.9;0.049;4.1;0.040999999999999995;;;1;0.001;0.0014925373134328358;0;0;0;0;0.3274615559126604;0.327;42.956646768638564;42.96
2;3.1;0.031;0.018;4.05;0.0405;3.25;0.0325;;;1;0.001;0.0014925373134328358;0.1;0.0001;0.00014925373134328358;0.1;0.4357846274895078;0.436;42.956646768638564;42.96
3;3.1;0.031;0.018;3.45;0.0345;3.1;0.031;;;1;0.001;0.0014925373134328358;0.2;0.0002;0.00029850746268656717;0.2;0.5542756481088355;0.554;42.956646768638564;42.96
4;3.1;0.031;0.018;3.05;0.0305;2.7;0.027000000000000003;;;1;0.001;0.0014925373134328358;0.3;0.0003;0.0004477611940298507;0.3;0.6668139579557532;0.667;42.956646768638564;42.96
5;3.1;0.031;0.018;2.6;0.026000000000000002;2.2;0.022000000000000002;;;1;0.001;0.0014925373134328358;0.5;0.0005;0.0007462686567164179;0.5;0.8472165269196563;0.847;42.956646768638564;42.96
6;3.1;0.031;0.018;6.5;0.065;5.65;0.0565;;;2;0.002;0.0029850746268656717;0;0;0;0;0.4286614234245555;0.429;27.060991748353157;27.06
7;3.1;0.031;0.019;6.75;0.0675;5.4;0.054000000000000006;;;2;0.002;0.0029850746268656717;0;0;0;0;0.39426500389842933;0.394;27.55311728082727;27.55
8;3.1;0.031;0.019;8.65;0.08650000000000001;6.95;0.0695;;;3;0.003;0.004477611940298507;0;0;0;0;0.40767209638737223;0.408;21.026963852070217;21.03
9;3.1;0.031;0.019;7.3;0.073;5.45;0.0545;;;3;0.003;0.004477611940298507;0.3;0.0003;0.0004477611940298507;0.09999999999999999;0.5258366562885884;0.526;21.026963852070217;21.03
10;3.1;0.031;0.019;6.9;0.069;5.15;0.051500000000000004;;;3;0.003;0.004477611940298507;0.6;0.0006;0.0008955223880597014;0.19999999999999998;0.5722179955986137;0.572;21.026963852070217;21.03
11;3.1;0.031;0.018;6.4;0.064;4.75;0.0475;;;3;0.003;0.004477611940298507;0.9;0.0009;0.0013432835820895521;0.3;0.6581209785822804;0.658;20.651401781305378;20.65
12;3.1;0.031;0.018;5.25;0.0525;4.05;0.0405;;;3;0.003;0.004477611940298507;1.5;0.0015;0.0022388059701492534;0.5;0.8858021716364314;0.886;20.651401781305378;20.65
13;3.1;0.031;0.018;12;0.12;10;0.1;;;5;0.005;0.007462686567164179;0;0;0;0;0.42722098434001693;0.427;14.690966544851843;14.69
14;3.1;0.031;0.019;11.65;0.1165;9.7;0.09699999999999999;;;5;0.005;0.007462686567164179;0;0;0;0;0.4347053742816003;0.435;14.958133387836618;14.96
15;3.1;0.031;0.019;9.9;0.099;7.2;0.07200000000000001;;;5;0.005;0.007462686567164179;0.5;0.0005;0.0007462686567164179;0.1;0.5549209301628077;0.555;14.958133387836618;14.96
16;3.1;0.031;0.018;9.25;0.0925;6.85;0.06849999999999999;;;5;0.005;0.007462686567164179;1;0.001;0.0014925373134328358;0.2;0.6312651968270221;0.631;14.690966544851843;14.69
17;3.1;0.031;0.018;8.55;0.0855;6.2;0.062;;;5;0.005;0.007462686567164179;1.5;0.0015;0.0022388059701492534;0.3;0.7103547245724736;0.71;14.690966544851843;14.69
18;3.1;0.031;0.0175;7.25;0.0725;5.65;0.0565;;;5;0.005;0.007462686567164179;2.5;0.0025;0.0037313432835820895;0.5;0.9226450662610606;0.923;14.553659758875595;14.55
19;3.1;0.031;0.017;13.65;0.1365;11.1;0.111;;;6;0.006;0.008955223880597014;0;0;0;0;0.4348290055137168;0.435;12.764045523811607;12.76
20;3.1;0.031;0.017;14.75;0.1475;11.95;0.1195;;;7;0.007;0.010447761194029851;0;0;0;0;0.45162319877060203;0.452;11.517471635607196;11.52
21;3.1;0.031;0.019;14.45;0.1445;12.4;0.124;;;7;0.007;0.010447761194029851;0;0;0;0;0.44056517262854067;0.441;11.952498867965263;11.95
22;3.1;0.031;0.019;12.5;0.125;9.3;0.09300000000000001;;;7;0.007;0.010447761194029851;0.7;0.0007;0.001044776119402985;0.09999999999999999;0.5475791630539536;0.548;11.952498867965263;11.95
23;3.1;0.031;0.019;11.5;0.115;8.55;0.0855;;;7;0.007;0.010447761194029851;1.4;0.0014;0.00208955223880597;0.19999999999999998;0.6205334148590138;0.621;11.952498867965263;11.95
24;3.1;0.031;0.018;10.85;0.1085;8.45;0.08449999999999999;;;7;0.007;0.010447761194029851;2.1;0.0021000000000000003;0.0031343283582089556;0.30000000000000004;0.6956773661023704;0.696;11.739015587295357;11.74
25;3.1;0.031;0.018;9.2;0.092;5.7;0.057;;;7;0.007;0.010447761194029851;3.5;0.0035;0.0052238805970149255;0.5;0.8909857127830909;0.891;11.739015587295357;11.74
26;3.1;0.031;0.017;16.6;0.166;13.75;0.1375;;;8;0.008;0.011940298507462687;0;0;0;0;0.4323088117541215;0.432;10.536487430301253;10.54
27;3.1;0.031;0.019;16.1;0.161;13.6;0.136;;;8;0.008;0.011940298507462687;0;0;0;0;0.4281195557300499;0.428;10.934461839147092;10.93
28;6.1;0.061;0.019;6.7;0.067;6.4;0.064;;;1;0.001;0.0014925373134328358;0;0;0;0;0.19934332094510737;0.199;43.737847356588375;43.74
29;6.1;0.061;0.019;5.75;0.0575;5.6;0.055999999999999994;;;1;0.001;0.0014925373134328358;0.1;0.0001;0.00014925373134328358;0.1;0.25073336319980216;0.251;43.737847356588375;43.74
30;6.1;0.061;0.019;5.35;0.0535;5.2;0.052000000000000005;;;1;0.001;0.0014925373134328358;0.2;0.0002;0.00029850746268656717;0.2;0.27937222078259866;0.279;43.737847356588375;43.74
31;6.1;0.061;0.019;4.9;0.049;4.8;0.048;;;1;0.001;0.0014925373134328358;0.3;0.0003;0.0004477611940298507;0.3;0.3187276737950545;0.319;43.737847356588375;43.74
32;6.1;0.061;0.019;4;0.04;3.9;0.039;;;1;0.001;0.0014925373134328358;0.5;0.0005;0.0007462686567164179;0.5;0.43213944133025084;0.432;43.737847356588375;43.74
33;6.1;0.061;0.019;7.4;0.07400000000000001;6.2;0.062;;;2;0.002;0.0029850746268656717;0;0;0;0;0.34347593086426975;0.343;27.55311728082727;27.55
34;6.1;0.061;0.019;8.75;0.0875;;;;;3;0.003;0.004477611940298507;0;0;0;0;0.4007034376882458;0.401;21.026963852070217;21.03
35;6.1;0.061;0.02;8.6;0.086;7.25;0.0725;;;3;0.003;0.004477611940298507;0;0;0;0;0.40081989841552423;0.401;21.389568969461827;21.39
36;6.1;0.061;0.02;7.35;0.0735;5.8;0.057999999999999996;;;3;0.003;0.004477611940298507;0.3;0.0003;0.0004477611940298507;0.09999999999999999;0.507301261029161;0.507;21.389568969461827;21.39
37;6.1;0.061;0.02;6.7;0.067;5;0.05;;;3;0.003;0.004477611940298507;0.6;0.0006;0.0008955223880597014;0.19999999999999998;0.5828875059789632;0.583;21.389568969461827;21.39
38;6.1;0.061;0.02;6.2;0.062;4.55;0.0455;;;3;0.003;0.004477611940298507;0.9;0.0009;0.0013432835820895521;0.3;0.6548011240301606;0.655;21.389568969461827;21.39
39;6.1;0.061;0.02;5.05;0.050499999999999996;3.75;0.0375;;;3;0.003;0.004477611940298507;1.5;0.0015;0.0022388059701492534;0.5;0.8907583114096482;0.891;21.389568969461827;21.39
40;6.1;0.061;0.019;11.75;0.1175;9.75;0.0975;;;5;0.005;0.007462686567164179;0;0;0;0;0.4291677680717749;0.429;14.958133387836618;14.96
41;6.1;0.061;0.019;11.85;0.1185;10.1;0.10099999999999999;;;5;0.005;0.007462686567164179;0;0;0;0;0.4237467418268303;0.424;14.958133387836618;14.96
42;6.1;0.061;0.019;9.8;0.098;7.2;0.07200000000000001;;;5;0.005;0.007462686567164179;0.5;0.0005;0.0007462686567164179;0.1;0.5634362487307423;0.563;14.958133387836618;14.96
43;6.1;0.061;0.019;9.1;0.091;6.5;0.065;;;5;0.005;0.007462686567164179;1;0.001;0.0014925373134328358;0.2;0.6296827687179721;0.63;14.958133387836618;14.96
44;6.1;0.061;0.019;8.25;0.0825;6;0.06;;;5;0.005;0.007462686567164179;1.5;0.0015;0.0022388059701492534;0.3;0.7294625065966048;0.729;14.958133387836618;14.96
45;6.1;0.061;0.019;6.6;0.066;5.2;0.052000000000000005;;;5;0.005;0.007462686567164179;2.5;0.0025;0.0037313432835820895;0.5;1.0194548448671232;1.019;14.958133387836618;14.96
46;6.1;0.061;0.019;14.15;0.14150000000000001;11.4;0.114;;;7;0.007;0.010447761194029851;0;0;0;0;0.4546500815860388;0.455;11.952498867965263;11.95
47;6.1;0.061;0.019;15.8;0.158;13.3;0.133;;;7.8;0.0078;0.011641791044776119;0;0;0;0;0.4293612685357175;0.429;11.12058590849042;11.12
48;3.1;0.031;0.019;4.25;0.0425;3.8;0.038;;;0.8;0.0008;0.0011940298507462687;0;0;0;0;0.31566067804125103;0.316;50.7532759741502;50.75
49;3.1;0.031;0.019;4.6;0.046;4.15;0.0415;;;1;0.001;0.0014925373134328358;0;0;0;0;0.35041052771368864;0.35;43.737847356588375;43.74
50;3.1;0.031;0.019;5.45;0.0545;4.5;0.045;;;1.5;0.0015;0.0022388059701492534;0;0;0;0;0.40757768550755824;0.408;33.378224538473546;33.38
51;3.1;0.031;0.019;6.25;0.0625;5;0.05;;;2;0.002;0.0029850746268656717;0;0;0;0;0.4425107879221769;0.443;27.55311728082727;27.55
52;6.1;0.061;0.019;7.1;0.071;6.3;0.063;;;2;0.002;0.0029850746268656717;0;0;0;0;0.36547389838320055;0.365;27.55311728082727;27.55
53;6.1;0.061;0.019;7.65;0.0765;6.45;0.0645;;;2.5;0.0025;0.0037313432835820895;0;0;0;0;0.4084714895393012;0.408;23.744556675332493;23.74
54;6.1;0.061;0.019;9.4;0.094;7.45;0.0745;;;4;0.004;0.005970149253731343;0;0;0;0;0.4798241515801764;0.48;17.357376226168235;17.36
55;6.1;0.061;0.019;10.85;0.1085;8.5;0.085;;;5;0.005;0.007462686567164179;0;0;0;0;0.4836590184755669;0.484;14.958133387836618;14.96
56;6.1;0.061;0.019;14.95;0.1495;12.15;0.1215;;;8;0.008;0.011940298507462687;0;0;0;0;0.47845609472533956;0.478;10.934461839147092;10.93
57;3.1;0.031;0.019;5.3;0.053;5.05;0.050499999999999996;3.6;0.036000000000000004;1;0.001;0.0014925373134328358;0;0;0;0;0.2833349106671712;0.283;43.737847356588375;43.74
58;3.1;0.031;0.019;5.05;0.050499999999999996;4.85;0.048499999999999995;3.25;0.0325;1;0.001;0.0014925373134328358;0.1;0.0001;0.00014925373134328358;0.1;0.3046329148154085;0.305;43.737847356588375;43.74
59;3.1;0.031;0.019;4.8;0.048;4.55;0.0455;2.9;0.028999999999999998;1;0.001;0.0014925373134328358;0.2;0.0002;0.00029850746268656717;0.2;0.32873961111702593;0.329;43.737847356588375;43.74
60;3.1;0.031;0.019;3.9;0.039;3.8;0.038;2.2;0.022000000000000002;1;0.001;0.0014925373134328358;0.5;0.0005;0.0007462686567164179;0.5;0.44886628133814105;0.449;43.737847356588375;43.74
61;3.1;0.031;0.019;8.05;0.0805;7.5;0.075;5.25;0.0525;2;0.002;0.0029850746268656717;0;0;0;0;0.3027262410152903;0.303;27.55311728082727;27.55
62;3.1;0.031;0.019;9.75;0.0975;9.05;0.09050000000000001;6.65;0.0665;3;0.003;0.004477611940298507;0;0;0;0;0.34066555533082993;0.341;21.026963852070217;21.03
63;3.1;0.031;0.019;9.65;0.0965;8.95;0.0895;6.4;0.064;3;0.003;0.004477611940298507;0;0;0;0;0.3459745696863359;0.346;21.026963852070217;21.03
64;3.1;0.031;0.019;8.95;0.0895;8.25;0.0825;5.7;0.057;3;0.003;0.004477611940298507;0.3;0.0003;0.0004477611940298507;0.09999999999999999;0.38734735512843016;0.387;21.026963852070217;21.03
65;3.1;0.031;0.019;8.3;0.083;7.75;0.0775;5.3;0.053;3;0.003;0.004477611940298507;0.6;0.0006;0.0008955223880597014;0.19999999999999998;0.43372854894780377;0.434;21.026963852070217;21.03
66;3.1;0.031;0.019;7.7;0.077;7.2;0.07200000000000001;4.85;0.048499999999999995;3;0.003;0.004477611940298507;0.9;0.0009;0.0013432835820895521;0.3;0.48539920432550965;0.485;21.026963852070217;21.03
67;3.1;0.031;0.019;6.5;0.065;5.85;0.058499999999999996;3.75;0.0375;3;0.003;0.004477611940298507;1.5;0.0015;0.0022388059701492534;0.5;0.6258425876268023;0.626;21.026963852070217;21.03
68;3.1;0.031;0.019;11.35;0.11349999999999999;10.25;0.1025;7.35;0.0735;4;0.004;0.005970149253731343;0;0;0;0;0.3616430240673286;0.362;17.357376226168235;17.36
69;3.1;0.031;0.019;13.25;0.1325;12.2;0.122;9.25;0.0925;5;0.005;0.007462686567164179;0;0;0;0;0.3583934633394395;0.358;14.958133387836618;14.96
70;3.1;0.031;0.019;13.1;0.131;11.65;0.1165;8.55;0.0855;5;0.005;0.007462686567164179;0;0;0;0;0.3645666638043976;0.365;14.958133387836618;14.96
71;3.1;0.031;0.019;12.2;0.122;10.9;0.109;7.8;0.078;5;0.005;0.007462686567164179;0.5;0.0005;0.0007462686567164179;0.1;0.4056431545852905;0.406;14.958133387836618;14.96
72;3.1;0.031;0.019;11.05;0.1105;9.9;0.099;6.65;0.0665;5;0.005;0.007462686567164179;1;0.001;0.0014925373134328358;0.2;0.470587601215098;0.471;14.958133387836618;14.96
73;3.1;0.031;0.0185;10.05;0.1005;9.05;0.09050000000000001;6.25;0.0625;5;0.005;0.007462686567164179;1.5;0.0015;0.0022388059701492534;0.3;0.549826592921356;0.55;14.825753583439171;14.83
